id;created_at;text;retweet_count;favorite_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332357856729964547;2020-11-27 16:17:21;RT @MInfraestrutura: A espera acabou! 🙌🏻 Após 50 anos de expectativa,o @Govbr entregou,nesta sexta (27),50,8 km de pista pavimentada na…;951;0,,,,,,,,,,,,,,,,,,,,,,,,,,
1332357432601964544;2020-11-27 16:15:40;@Marceloscf2 🤝;59;1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332356450254000130;2020-11-27 16:11:46;RT @rogeriosmarinho: Começamos a divulgar o balanço das nossas ações este ano. Só em janeiro,o governo @jairbolsonaro concluiu 346 empreen…;652;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332356336273731585;2020-11-27 16:11:19;RT @CarlosBolsonaro: A. @govbr @jairbolsonaro começa a levar água do mar para o sertão do Ceará com usina de dessalinização. Iniciativa iné…;2748;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332294032089899010;2020-11-27 12:03:44;@tarcisiogdf 🇧🇷;213;5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332267226456612865;2020-11-27 10:17:13;- Por favor,ASSISTA.- Estamos entregando milhares de títulos de propriedade no campo.- A liberdade chegou para aqueles que eram usados pela esquerda/MST.- Parabéns Ministra @TerezaCrisMS,INCRA e servidores.- @Mapa_Brasil https://t.co/dsVmGPlxwD;5157;27104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332082552774021122;2020-11-26 22:03:24;- Live de toda quinta-feira sobre assuntos da semana (26/11/2020). Acompanhe pelo YouTube: https://t.co/rr0mmjymSf;1874;13048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332008093023166466;2020-11-26 17:07:31;- CAGED bate mais um recorde com a criação de 394.989 novas vagas com carteira assinada em outubro. - É o quarto mês consecutivo de resultado positivo! https://t.co/AXNin7Zy8T;3801;26380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331901506283589632;2020-11-26 10:03:59;- As ambulantes de café (aprox. 150) também eram exploradas na CEAGESP.- Elas pagavam R$ 160,00 por mês para venderem café e guardar seus utensílios na área.- Agora não pagam nada. O novo Presidente,Cel PM Mello Araújo,isentou-as de qualquer taxa.. https://t.co/isTdORXQU2 https://t.co/5JCY3i3sXG;4707;27727,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331727928082751490;2020-11-25 22:34:15;@govbr @embrapa 🤝🇧🇷;72;1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331726477222670339;2020-11-25 22:28:29;@secomvc @policiafederal 🤝;138;3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331721772555776007;2020-11-25 22:09:47;- A @policiafederal de todos os brasileiros. - De maio/2020 para cá bateu todos os recordes de apreensão.. @JusticaGovBR @AmendoncaMJSP . Link em nosso canal no YouTube: https://t.co/e2xZ2oh5AI https://t.co/ao2ZVTGb5Q;2505;15874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331651592395878402;2020-11-25 17:30:55;@Marceloscf2 👍🏻;70;1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1331649598184714243;2020-11-25 17:22:59;""RT @MInfraestrutura: """"Vamos aumentar os fluxos de curta distância",em que o caminhoneiro ganha + por km rodado,"desgasta menos o equipament…"";1191;0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331648632920137731;2020-11-25 17:19:09;RT @CarlosBolsonaro: B. A BR-163,entre Mato Grosso e Pará,era considerada uma das piores rodovias do país. Principalmente durante o perío…;1856;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331580906105171969;2020-11-25 12:50:02;- Energia no Amapá/restabelecimento.- Ontem,por volta das 03h30,com a energização do 2° transformador,foi restabelecido 100% da energia do Amapá.- O @Minas_Energia continuará coordenando as ações para aumentar a confiabilidade no atendimento à população local.;3193;26722,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331563193035001856;2020-11-25 11:39:39;- O novo presidente da CEAGESP (Cel PM/ROTA,Mello Araújo) descobriu que 4.000 carregadores eram obrigados a pagar,irregularmente,R$60,00 por mês para guardarem seus carrinhos.- R$ 240.000,00/mês tirado dos mais pobres...muitas outras irregularidades foram descobertas. https://t.co/2ysjhXmcUa;6529;34539,,,,,,,,,,,,,,,,,,,,,,,,,
1331532215218548737;2020-11-25 09:36:33;RT @CarlosBolsonaro: Brasil bate recordes de apreensão e destruição de drogas: mais de 91,8 toneladas de cocaína,mais de 2,4 mil toneladas…;3001;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331243632666546176;2020-11-24 14:29:49;A3. Barco não para na porta da indústria ou fazenda. Se contêineres embarcarão em um navio,precisam chegar e deixar o porto. O BR do Mar quer abrir o mercado de cabotagem no país para explorar o grande potencial da costa e de rios do Brasil. E é importante para toda a logística.;925;7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331243030674878464;2020-11-24 14:27:26;A2. Os reflexos da BR do Mar aumentam os fluxos de curta distância,em que o caminhoneiro ganha mais por km rodado,desgasta menos o equipamento e,portanto,tem maior receita.Ampliar a cabotagem é,naturalmente,ampliar a experiência multimodal no Brasil. @tarcisiogdf;986;8403,,,,,,,,,,,,,,,,,,,,,,,,
1331242945438216193;2020-11-24 14:27:06;A1. O PL BR do Mar pretende ampliar o volume de contêineres transportados por ano e baratear o produto na linha final para o consumidor no que depender de ações do @govbr,além de expandir em 40% a capacidade da frota marítima dedicada à cabotagem nos próximos 3 anos. https://t.co/ThtN9gxE22;2719;19476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331239499733610496;2020-11-24 14:13:24;@secomvc 🤝;119;2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331238233896853507;2020-11-24 14:08:22;@MInfraestrutura @tarcisiogdf @sbtjornalismo 👍🏻🇧🇷;72;1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331187753858510849;2020-11-24 10:47:47;- BOM DIA A TODOS. https://t.co/RWgb16O3sA;3262;45998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330988002559062017;2020-11-23 21:34:03;RT @secomvc: Bilhões de reais em prejuízo para o crime organizado! O Brasil segue batendo recordes de apreensão de drogas em 2020. Até outu…;1057;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330975283042791429;2020-11-23 20:43:30;@tarcisiogdf @DNIToficial 🤝;199;4815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330967921238159361;2020-11-23 20:14:15;https://t.co/HYmILsIgqO;3020;25613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330827760231702530;2020-11-23 10:57:18;- Brasil,um dos maiores produtores de alimentos do mundo.- Somos exemplo para muitos. https://t.co/ZrWJzRzuG5;5905;35408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330580730540339202;2020-11-22 18:35:41;-- Festa de Cristo Rei-- “Tu o dizes,eu sou rei. Para isso nasci e vim ao mundo,para dar testemunho da verdade. Todo aquele que é da verdade escuta minha voz” (Jo 18,37)-- Peço a Deus que nos dê força e sabedoria para bem conduzir a nação -- Viva Cristo Rei! https://t.co/qXwkIf3BK5;5275;45452,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330571637104762880;2020-11-22 17:59:33;@tarcisiogdf @DNIToficial 🤝🤝🤝;167;4359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330565100151975941;2020-11-22 17:33:35;RT @RGL4U: President Jair Bolsonaro about the attempt of installing racial tensions in Brazil. https://t.co/rFaI0mQQgd;2395;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330554717143961602;2020-11-22 16:52:19;O @govbr anuncia Medida Provisória que beneficiará consumidores de energia elétrica do Amapá.. Informações desde o início nas redes sociais do @Minas_Energia;2366;21044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330544610301661187;2020-11-22 16:12:10;- G-20 / encerramento.- Domingo,22/novembro/2020.. Link no YouTube: https://t.co/qjHNxzIpI3;1565;11940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330503449591631873;2020-11-22 13:28:36;- BOM DIA A TODOS.- Estou agora em reunião com o G-20. https://t.co/75mbJzW9lv;6404;61902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330449567993778177;2020-11-22 09:54:30;- Energia retornando ao Amapá.- Obrigado a todos pela acolhida. https://t.co/GFgylbRJXh;4534;37932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
